date,hour,mrt_shortname,person_time
2024-04-01,0,信義安和,74
2024-04-01,0,公館,142
2024-04-01,0,六張犁,47
2024-04-01,0,古亭,117
2024-04-01,0,台電大樓,70
2024-04-01,0,國父紀念館,34
2024-04-01,0,大安,64
2024-04-01,0,大安森林公園,27
2024-04-01,0,忠孝復興,73
2024-04-01,0,忠孝敦化,53
2024-04-01,0,忠孝新生,73
2024-04-01,0,東門,73
2024-04-01,0,科技大樓,45
2024-04-01,0,萬隆,85
2024-04-01,0,麟光,21
2024-04-01,1,信義安和,0
2024-04-01,1,公館,0
2024-04-01,1,六張犁,0
2024-04-01,1,古亭,0
2024-04-01,1,台電大樓,0
2024-04-01,1,國父紀念館,0
2024-04-01,1,大安,0
2024-04-01,1,大安森林公園,0
2024-04-01,1,忠孝復興,0
2024-04-01,1,忠孝敦化,0
2024-04-01,1,忠孝新生,0
2024-04-01,1,東門,0
2024-04-01,1,科技大樓,0
2024-04-01,1,萬隆,0
2024-04-01,1,麟光,0
2024-04-01,5,信義安和,0
2024-04-01,5,公館,0
2024-04-01,5,六張犁,0
2024-04-01,5,古亭,0
2024-04-01,5,台電大樓,0
2024-04-01,5,國父紀念館,0
2024-04-01,5,大安,0
2024-04-01,5,大安森林公園,0
2024-04-01,5,忠孝復興,0
2024-04-01,5,忠孝敦化,1
2024-04-01,5,忠孝新生,0
2024-04-01,5,東門,0
2024-04-01,5,科技大樓,0
2024-04-01,5,萬隆,0
2024-04-01,5,麟光,0
2024-04-01,6,信義安和,319
2024-04-01,6,公館,415
2024-04-01,6,六張犁,151
2024-04-01,6,古亭,398
2024-04-01,6,台電大樓,216
2024-04-01,6,國父紀念館,273
2024-04-01,6,大安,410
2024-04-01,6,大安森林公園,208
2024-04-01,6,忠孝復興,466
2024-04-01,6,忠孝敦化,439
2024-04-01,6,忠孝新生,421
2024-04-01,6,東門,397
2024-04-01,6,科技大樓,203
2024-04-01,6,萬隆,68
2024-04-01,6,麟光,36
2024-04-01,7,信義安和,1564
2024-04-01,7,公館,1785
2024-04-01,7,六張犁,758
2024-04-01,7,古亭,1740
2024-04-01,7,台電大樓,1350
2024-04-01,7,國父紀念館,1396
2024-04-01,7,大安,3582
2024-04-01,7,大安森林公園,740
2024-04-01,7,忠孝復興,1892
2024-04-01,7,忠孝敦化,2264
2024-04-01,7,忠孝新生,1948
2024-04-01,7,東門,2357
2024-04-01,7,科技大樓,899
2024-04-01,7,萬隆,369
2024-04-01,7,麟光,122
2024-04-01,8,信義安和,4464
2024-04-01,8,公館,3039
2024-04-01,8,六張犁,1451
2024-04-01,8,古亭,4379
2024-04-01,8,台電大樓,1688
2024-04-01,8,國父紀念館,3616
2024-04-01,8,大安,5704
2024-04-01,8,大安森林公園,1015
2024-04-01,8,忠孝復興,3985
2024-04-01,8,忠孝敦化,5477
2024-04-01,8,忠孝新生,5969
2024-04-01,8,東門,3116
2024-04-01,8,科技大樓,2142
2024-04-01,8,萬隆,411
2024-04-01,8,麟光,238
2024-04-01,9,信義安和,1848
2024-04-01,9,公館,2184
2024-04-01,9,六張犁,762
2024-04-01,9,古亭,2567
2024-04-01,9,台電大樓,903
2024-04-01,9,國父紀念館,2370
2024-04-01,9,大安,2359
2024-04-01,9,大安森林公園,557
2024-04-01,9,忠孝復興,3054
2024-04-01,9,忠孝敦化,2621
2024-04-01,9,忠孝新生,3490
2024-04-01,9,東門,1439
2024-04-01,9,科技大樓,1238
2024-04-01,9,萬隆,254
2024-04-01,9,麟光,243
2024-04-01,10,信義安和,907
2024-04-01,10,公館,1615
2024-04-01,10,六張犁,441
2024-04-01,10,古亭,1655
2024-04-01,10,台電大樓,641
2024-04-01,10,國父紀念館,1172
2024-04-01,10,大安,1212
2024-04-01,10,大安森林公園,396
2024-04-01,10,忠孝復興,2645
2024-04-01,10,忠孝敦化,1696
2024-04-01,10,忠孝新生,2268
2024-04-01,10,東門,1287
2024-04-01,10,科技大樓,688
2024-04-01,10,萬隆,252
2024-04-01,10,麟光,207
2024-04-01,11,信義安和,735
2024-04-01,11,公館,1497
2024-04-01,11,六張犁,345
2024-04-01,11,古亭,1253
2024-04-01,11,台電大樓,602
2024-04-01,11,國父紀念館,1047
2024-04-01,11,大安,1030
2024-04-01,11,大安森林公園,376
2024-04-01,11,忠孝復興,2728
2024-04-01,11,忠孝敦化,1744
2024-04-01,11,忠孝新生,1952
2024-04-01,11,東門,1374
2024-04-01,11,科技大樓,562
2024-04-01,11,萬隆,302
2024-04-01,11,麟光,137
2024-04-01,12,信義安和,703
2024-04-01,12,公館,1643
2024-04-01,12,六張犁,354
2024-04-01,12,古亭,1444
2024-04-01,12,台電大樓,758
2024-04-01,12,國父紀念館,908
2024-04-01,12,大安,1029
2024-04-01,12,大安森林公園,420
2024-04-01,12,忠孝復興,2831
2024-04-01,12,忠孝敦化,1635
2024-04-01,12,忠孝新生,1982
2024-04-01,12,東門,1466
2024-04-01,12,科技大樓,711
2024-04-01,12,萬隆,431
2024-04-01,12,麟光,170
2024-04-01,13,信義安和,710
2024-04-01,13,公館,1398
2024-04-01,13,六張犁,343
2024-04-01,13,古亭,1597
2024-04-01,13,台電大樓,643
2024-04-01,13,國父紀念館,958
2024-04-01,13,大安,1078
2024-04-01,13,大安森林公園,457
2024-04-01,13,忠孝復興,2381
2024-04-01,13,忠孝敦化,1782
2024-04-01,13,忠孝新生,2196
2024-04-01,13,東門,1406
2024-04-01,13,科技大樓,839
2024-04-01,13,萬隆,325
2024-04-01,13,麟光,146
2024-04-01,14,信義安和,803
2024-04-01,14,公館,1389
2024-04-01,14,六張犁,328
2024-04-01,14,古亭,1289
2024-04-01,14,台電大樓,643
2024-04-01,14,國父紀念館,908
2024-04-01,14,大安,970
2024-04-01,14,大安森林公園,408
2024-04-01,14,忠孝復興,2268
2024-04-01,14,忠孝敦化,1497
2024-04-01,14,忠孝新生,1965
2024-04-01,14,東門,1143
2024-04-01,14,科技大樓,511
2024-04-01,14,萬隆,377
2024-04-01,14,麟光,132
2024-04-01,15,信義安和,713
2024-04-01,15,公館,1243
2024-04-01,15,六張犁,366
2024-04-01,15,古亭,1304
2024-04-01,15,台電大樓,636
2024-04-01,15,國父紀念館,781
2024-04-01,15,大安,791
2024-04-01,15,大安森林公園,492
2024-04-01,15,忠孝復興,2173
2024-04-01,15,忠孝敦化,1357
2024-04-01,15,忠孝新生,1861
2024-04-01,15,東門,1096
2024-04-01,15,科技大樓,553
2024-04-01,15,萬隆,401
2024-04-01,15,麟光,141
2024-04-01,16,信義安和,863
2024-04-01,16,公館,1191
2024-04-01,16,六張犁,600
2024-04-01,16,古亭,1679
2024-04-01,16,台電大樓,782
2024-04-01,16,國父紀念館,826
2024-04-01,16,大安,1208
2024-04-01,16,大安森林公園,526
2024-04-01,16,忠孝復興,2353
2024-04-01,16,忠孝敦化,1550
2024-04-01,16,忠孝新生,1849
2024-04-01,16,東門,1402
2024-04-01,16,科技大樓,666
2024-04-01,16,萬隆,620
2024-04-01,16,麟光,277
2024-04-01,17,信義安和,1280
2024-04-01,17,公館,1953
2024-04-01,17,六張犁,940
2024-04-01,17,古亭,2560
2024-04-01,17,台電大樓,1407
2024-04-01,17,國父紀念館,1299
2024-04-01,17,大安,1656
2024-04-01,17,大安森林公園,629
2024-04-01,17,忠孝復興,3241
2024-04-01,17,忠孝敦化,2110
2024-04-01,17,忠孝新生,2149
2024-04-01,17,東門,1942
2024-04-01,17,科技大樓,1055
2024-04-01,17,萬隆,1075
2024-04-01,17,麟光,380
2024-04-01,18,信義安和,1808
2024-04-01,18,公館,2178
2024-04-01,18,六張犁,1614
2024-04-01,18,古亭,3559
2024-04-01,18,台電大樓,1791
2024-04-01,18,國父紀念館,1820
2024-04-01,18,大安,2110
2024-04-01,18,大安森林公園,696
2024-04-01,18,忠孝復興,4093
2024-04-01,18,忠孝敦化,2972
2024-04-01,18,忠孝新生,2894
2024-04-01,18,東門,2586
2024-04-01,18,科技大樓,1655
2024-04-01,18,萬隆,1520
2024-04-01,18,麟光,685
2024-04-01,19,信義安和,1142
2024-04-01,19,公館,1543
2024-04-01,19,六張犁,916
2024-04-01,19,古亭,2233
2024-04-01,19,台電大樓,1199
2024-04-01,19,國父紀念館,1033
2024-04-01,19,大安,1206
2024-04-01,19,大安森林公園,467
2024-04-01,19,忠孝復興,2483
2024-04-01,19,忠孝敦化,1667
2024-04-01,19,忠孝新生,1572
2024-04-01,19,東門,1524
2024-04-01,19,科技大樓,981
2024-04-01,19,萬隆,1221
2024-04-01,19,麟光,543
2024-04-01,20,信義安和,669
2024-04-01,20,公館,988
2024-04-01,20,六張犁,682
2024-04-01,20,古亭,1347
2024-04-01,20,台電大樓,760
2024-04-01,20,國父紀念館,543
2024-04-01,20,大安,743
2024-04-01,20,大安森林公園,323
2024-04-01,20,忠孝復興,1351
2024-04-01,20,忠孝敦化,950
2024-04-01,20,忠孝新生,1072
2024-04-01,20,東門,866
2024-04-01,20,科技大樓,546
2024-04-01,20,萬隆,734
2024-04-01,20,麟光,301
2024-04-01,21,信義安和,550
2024-04-01,21,公館,912
2024-04-01,21,六張犁,489
2024-04-01,21,古亭,1209
2024-04-01,21,台電大樓,708
2024-04-01,21,國父紀念館,422
2024-04-01,21,大安,681
2024-04-01,21,大安森林公園,255
2024-04-01,21,忠孝復興,839
2024-04-01,21,忠孝敦化,633
2024-04-01,21,忠孝新生,865
2024-04-01,21,東門,748
2024-04-01,21,科技大樓,457
2024-04-01,21,萬隆,640
2024-04-01,21,麟光,284
2024-04-01,22,信義安和,488
2024-04-01,22,公館,763
2024-04-01,22,六張犁,378
2024-04-01,22,古亭,799
2024-04-01,22,台電大樓,467
2024-04-01,22,國父紀念館,286
2024-04-01,22,大安,430
2024-04-01,22,大安森林公園,193
2024-04-01,22,忠孝復興,492
2024-04-01,22,忠孝敦化,399
2024-04-01,22,忠孝新生,553
2024-04-01,22,東門,437
2024-04-01,22,科技大樓,390
2024-04-01,22,萬隆,460
2024-04-01,22,麟光,238
2024-04-01,23,信義安和,178
