sna,sno,mrt_name,mrt_distances,mrt_shortname
YouBike2.0_捷運古亭站(6號出口),500101110.0,古亭站出口6,14.588981346384251,古亭
YouBike2.0_捷運古亭站(5號出口),500101111.0,古亭站出口5,6.639189442825308,古亭
YouBike2.0_捷運古亭站(3號出口),500101232.0,古亭站出口3,17.084129724571106,古亭
YouBike2.0_金杭公園,500101119.0,東門站出口2,360.8146891419907,東門
YouBike2.0_金甌女中,500101118.0,東門站出口2,345.44733281829247,東門
YouBike2.0_原臺北刑務所官舍,500101211.0,古亭站出口5,278.4830914364327,古亭
YouBike2.0_和平金山路口,500101105.0,古亭站出口3,206.5185722639005,古亭
YouBike2.0_愛國金山路口,500101120.0,東門站出口3,182.06713095968533,東門
YouBike2.0_羅斯福浦城街口,500101224.0,台電大樓站出口4,84.36684618758179,台電大樓
YouBike2.0_臺灣師範大學(浦城街),500101229.0,台電大樓站出口3,209.18916640505364,台電大樓
YouBike2.0_捷運東門站(3號出口),500101117.0,東門站出口1,25.73743823785297,東門
YouBike2.0_捷運臺電大樓站(2號出口)_1,500101207.0,台電大樓站出口1,54.15947340969021,台電大樓
YouBike2.0_古風公園,500101239.0,台電大樓站出口2,97.61742471253486,台電大樓
YouBike2.0_捷運臺電大樓站(2號出口),500101104.0,台電大樓站出口2,36.37580208297421,台電大樓
YouBike2.0_捷運東門站(5號出口),500101179.0,東門站出口5,13.244436916516028,東門
YouBike2.0_和平龍泉街口,500101107.0,台電大樓站出口2,366.3011356873348,台電大樓
YouBike2.0_臺灣師範大學(圖書館),500101109.0,台電大樓站出口3,378.2945139315548,台電大樓
YouBike2.0_辛亥路一段30號前,500101012.0,台電大樓站出口2,83.11188009813374,台電大樓
YouBike2.0_羅斯福路三段245號前,500101016.0,台電大樓站出口2,103.5771006617328,台電大樓
YouBike2.0_金華公園,500101116.0,東門站出口6,267.7962416760601,東門
YouBike2.0_溫州公園,500101018.0,台電大樓站出口2,283.6657327945357,台電大樓
YouBike2.0_辛亥泰順街口,500101094.0,台電大樓站出口2,301.75292024958776,台電大樓
YouBike2.0_和平泰順街口,500101108.0,台電大樓站出口2,455.12620310401593,台電大樓
YouBike2.0_羅斯福路三段311號前,500101014.0,公館站出口4,213.53687823129667,公館
YouBike2.0_捷運忠孝新生站(6號出口),500101149.0,忠孝新生站出口6,14.834124863686812,忠孝新生
YouBike2.0_新生南路一段119巷口,500101128.0,忠孝新生站出口6,45.09695660847799,忠孝新生
YouBike2.0_溫州停車場,500101020.0,公館站出口3,336.48020428784366,公館
YouBike2.0_捷運忠孝新生站(4號出口),500101150.0,忠孝新生站出口4,4.965029559474893,忠孝新生
YouBike2.0_新生南路三段94巷口,500101184.0,公館站出口4,136.95455571195237,公館
YouBike2.0_新生南路三段82號前,500101010.0,公館站出口3,209.78612841046169,公館
YouBike2.0_捷運公館站(3號出口),500101181.0,公館站出口4,24.74762775076133,公館
YouBike2.0_捷運忠孝新生站(3號出口),500101152.0,忠孝新生站出口3,10.855972024967762,忠孝新生
YouBike2.0_新生南路三段66號前,500101009.0,公館站出口3,253.1730846340191,公館
YouBike2.0_新生南路三段52號前,500101008.0,公館站出口3,331.46607221141096,公館
YouBike2.0_辛亥新生路口西北側,500101185.0,公館站出口3,421.6520162889936,公館
YouBike2.0_捷運大安森林公園站(2號出口),500101144.0,大安森林公園站出口2,15.783380907379083,大安森林公園
YouBike2.0_捷運公館站(2號出口),500101022.0,公館站出口1,23.32296834502757,公館
YouBike2.0_和平新生路口西南側,500101199.0,大安森林公園站出口2,431.0365526931631,大安森林公園
YouBike2.0_辛亥新生路口東南側,500101041.0,公館站出口3,401.0366471443813,公館
YouBike2.0_新生和平路口東北側,500101114.0,大安森林公園站出口4,397.0061511582982,大安森林公園
YouBike2.0_幸安國小(仁愛路),500101129.0,大安森林公園站出口6,239.2902087249917,大安森林公園
