sno,stop_name,category,value
500101001.0,捷運科技大樓站,中,2
500101002.0,復興南路二段273號前,中,2
500101003.0,國北教大實小東側門,中,2
500101004.0,和平公園東側,中,2
500101005.0,辛亥復興路口西北側,中,2
500101006.0,復興南路二段280號前,中,2
500101007.0,復興南路二段340巷口,中,2
500101008.0,新生南路三段52號前,高,3
500101009.0,新生南路三段66號前,高,3
500101010.0,新生南路三段82號前,高,3
500101012.0,辛亥路一段30號前,中,2
500101013.0,和平復興路口西北側,中,2
500101014.0,羅斯福路三段311號前,中,2
500101015.0,大安運動中心停車場,中,2
500101016.0,羅斯福路三段245號前,中,2
500101018.0,溫州公園,中,2
500101019.0,和平臥龍街口,中,2
500101020.0,溫州停車場,中,2
500101021.0,銘傳國小側門,中,2
500101022.0,捷運公館站(2號出口),中,2
500101024.0,臺灣科技大學正門,中,2
500101025.0,臺灣科技大學側門,中,2
500101026.0,公館公園,中,2
500101027.0,臺灣科技大學後門,高,3
500101028.0,臺大醫學院附設癌醫中心,中,2
500101029.0,臺大環研大樓,中,2
500101030.0,臺大永齡生醫工程館,高,3
500101031.0,臺大男七舍前,高,3
500101032.0,臺大男一舍前,高,3
500101033.0,臺大男六舍前,中,2
500101034.0,臺大動物醫院前,中,2
500101035.0,臺大土木研究大樓前,高,3
500101036.0,臺大萬才館前,高,3
500101037.0,臺大國青大樓宿舍前,高,3
500101038.0,臺大社科院圖書館前,中,2
500101039.0,臺大法人語言訓練中心前,中,2
500101040.0,臺大綜合體育館停車場前,中,2
500101041.0,辛亥新生路口東南側,中,2
500101042.0,基隆長興路口東側,中,2
500101091.0,國北教大側門南側,高,3
500101092.0,和平實小東北側,中,2
500101093.0,大安區健康服務中心,中,2
500101094.0,辛亥泰順街口,中,2
500101095.0,芳和國中,高,3
500101097.0,臥龍樂業街口,高,3
500101098.0,臥龍公園,中,2
500101099.0,嘉興公園,高,3
500101100.0,捷運麟光站(2號出口),高,3
500101101.0,捷運六張犁站,高,3
500101102.0,喬治工商,中,2
500101103.0,法治公園,中,2
500101104.0,捷運臺電大樓站(2號出口),中,2
500101105.0,和平金山路口,高,3
500101107.0,和平龍泉街口,高,3
500101108.0,和平泰順街口,高,3
500101109.0,臺灣師範大學(圖書館),高,3
500101110.0,捷運古亭站(6號出口),高,3
500101111.0,捷運古亭站(5號出口),中,2
500101113.0,臺北市立圖書館(總館),高,3
500101114.0,新生和平路口東北側,高,3
500101115.0,建國和平路口西北側,高,3
500101116.0,金華公園,高,3
500101117.0,捷運東門站(3號出口),中,2
500101118.0,金甌女中,中,2
500101119.0,金杭公園,高,3
500101120.0,愛國金山路口,高,3
500101122.0,敦化南路二段293巷口南側,中,2
500101123.0,敦化基隆路口,中,2
500101124.0,安和路二段181巷口,高,3
500101125.0,臨江街夜市(通化街101巷口),高,3
500101126.0,臨江街夜市(基隆路),中,2
